id	latin	common	info
swamp_sparrow	Melospiza georgiana	Swamp Sparrow	
tennessee_warbler	Oreothlypis peregrina	Tennessee Warbler	
white-eyed_vireo	Vireo griseus	White-eyed Vireo	Areas with dense, low shrub cover provide ideal habitat for this southerly species. White-eyed vireos are relatively intolerant of residual canopy coverage, are also one of the more area-sensitive species in Massachusetts forest openings.
white-throated_sparrow	Zonotrichia albicollis	White-throated Sparrow	This northerly species is typical of coniferous habitats with dense shrub cover and significant herbaceous vegetation, although they will also use deciduous habitats. In addition to silvicultural openings, this species also may occur along the edges of meadows, bogs, and ponds, as well as areas regenerating after fires.
willow_flycatcher	Empidonax traillii	Willow Flycatcher	
wilsons_snipe	Gallinago delicata	Wilson's Snipe	
wilsons_warbler	Cardellina pusilla	Wilson's Warbler	
yellow_warbler	Setophaga petechia	Yellow Warbler	
yellow-billed_cuckoo	Coccyzus americanus	Yellow-billed Cuckoo	This elusive bird is a voracious predator of caterpillars, cicadas, and other large insects. Yellow-billed cuckoos almost exclusively found in deciduous habitats, often near water. Areas with dense shrubs and saplings are preferred, such as abandoned agricultural land, overgrown orchards, and the edges of streams and marshes.
yellow-breasted_chat	Icteria virens	Yellow-breasted Chat	
