id	latin	common	group	info
magnolia_warbler	Setophaga magnolia	Magnolia Warbler	shrubland	
mourning_warbler	Geothlypis philadelphia	Mourning Warbler	shrubland	This northerly distributed species uses open to moderately closed habitats with low, dense shrubby vegetation. Mourning warblers occur in regenerating clearcuts, but also shelterwoods, although at lower densities.
nashville_warbler	Leiothlypis ruficapilla	Nashville Warbler	shrubland	This northerly species is almost never found in unbroken forests, but they may inhabit areas with small or scattered large trees. They breed in moderately open areas with dense shrub cover and a dense herbaceous layer.
northern_bobwhite	Colinus virginianus	Northern Bobwhite	shrubland	
northern_cardinal	Cardinalis cardinalis	Northern Cardinal	shrubland	
northern_mockingbird	Mimus polyglottos	Northern Mockingbird	shrubland	
palm_warbler	Setophaga palmarum	Palm Warbler	shrubland	
prairie_warbler	Setophaga discolor	Prairie Warbler	shrubland	Occurs in openings with little herbaceous groundcover, is highly area-sensitive, and is relatively intolerant of residual trees. One of the highest priority species in Massachusetts.
ruby-throated_hummingbird	Archilochus colubris	Ruby-throated Hummingbird	shrubland	
ruffed_grouse	Bonasa umbellus	Ruffed Grouse	shrubland	
rusty_blackbird	Euphagus carolinus	Rusty Blackbird	shrubland	
song_sparrow	Melospiza melodia	Song Sparrow	shrubland	This widespread species prefers habitats with tall, dense shrub or sapling cover and dense herbaceous vegetation, preferably “mesic” (moister) sites. Song sparrows also occur in wetlands, residential areas and in fallow areas on farms.
swamp_sparrow	Melospiza georgiana	Swamp Sparrow	shrubland	
tennessee_warbler	Oreothlypis peregrina	Tennessee Warbler	shrubland	
white-eyed_vireo	Vireo griseus	White-eyed Vireo	shrubland	Areas with dense, low shrub cover provide ideal habitat for this southerly species. White-eyed vireos are relatively intolerant of residual canopy coverage, are also one of the more area-sensitive species in Massachusetts forest openings.
white-throated_sparrow	Zonotrichia albicollis	White-throated Sparrow	shrubland	This northerly species is typical of coniferous habitats with dense shrub cover and significant herbaceous vegetation, although they will also use deciduous habitats. In addition to silvicultural openings, this species also may occur along the edges of meadows, bogs, and ponds, as well as areas regenerating after fires.
willow_flycatcher	Empidonax traillii	Willow Flycatcher	shrubland	
wilsons_snipe	Gallinago delicata	Wilson's Snipe	shrubland	
wilsons_warbler	Cardellina pusilla	Wilson's Warbler	shrubland	
yellow_warbler	Setophaga petechia	Yellow Warbler	shrubland	
yellow-billed_cuckoo	Coccyzus americanus	Yellow-billed Cuckoo	shrubland	This elusive bird is a voracious predator of caterpillars, cicadas, and other large insects. Yellow-billed cuckoos almost exclusively found in deciduous habitats, often near water. Areas with dense shrubs and saplings are preferred, such as abandoned agricultural land, overgrown orchards, and the edges of streams and marshes.
yellow-breasted_chat	Icteria virens	Yellow-breasted Chat	shrubland	
acadian_flycatcher	Empidonax virescens	Acadian Flycatcher	mature	Associated with deciduous or mixed forest, particularly shaded ravines, wooded bottomlands and riparian areas.
american_redstart	Setophaga ruticilla	American Redstart	mature	A species of wood warbler, typically occupies deciduous forest with a dense midstory and saplings. Flashes red tail feathers to flush insects which it captures in flight. 
blackburnian_warbler	Setophaga fusca	Blackburnian Warbler	mature	A canopy-dweller associated with mature mixed or coniferous forests including spruce or hemlock. Abundant in regenerating clearcuts during the post-fledging period.
black-throated_blue_warbler	Setophaga caerulescens	Black-throated Blue Warbler	mature	Uses deciduous or mixed forest with dense understories. A shrub nester typically uses hobblebush in its northern range, mountain laurel in the south.
black-throated-green-warbler	Setophaga virens	Black-throated Green Warbler	mature	Occupies mixed forests canopies, particularly associated with spruce and hemlock. Lab experiments show innate preference for red over white spruce.
blue-gray-gnatcatcher	Polioptila caerulea	Blue-gray Gnatcatcher	mature	Prefers open moist deciduous forests. Quiet sibilant song often includes snippets of songs of other species. Flashes tail spots to flush insect prey like American redstart. 
blue-headed_vireo	Vireo solitarius	Blue-headed Vireo	mature	Prefers mixed or coniferous forest, especially hemlock or spruce. One of the earliest returning migrants to northern forests. Unlike red-eyed vireo, males also incubate eggs. 
brown_creeper	Certhia americana	Brown Creeper	mature	Inhabits mature coniferous, mixed or deciduous forest where it probes bark crevices for invertebrate prey. Nests in exfoliating bark, so values standing dead trees and snags. 
cerulean_warbler	Setophaga cerulea	Cerulean Warbler	mature	Associated with upper canopies of mature deciduous forests with large white oaks, sugar maples and hickories on bottomlands in the south, but mid to upper slopes and ridgelines in the northern portion of their range. 
eastern_wood_pewee	Contopus virens	Eastern Wood Pewee	mature	Typically occupies mid-to upper canopy in upland mature deciduous forests. Pursues insects in acrobatic flights from an exposed perch. Once of the last arrivals to northern forests.
great_crested_flycatcher	Myiarchus crinitus	Great Crested Flycatcher	mature	
hermit_thrush	Catharus guttatus	Hermit Thrush	mature	Nests in dense coniferous or mixed upland forests. Forages and nests on the ground, sometimes by rapidly stamping their feet, perhaps to flush invertebrates? Known to eat red-backed salamanders.
hooded_warbler	Setophaga citrina	Hooded Warbler	mature	Prefers deciduous or mixed moist forest with dense understory, often associated with gaps. Also flashes white spots in tail feathers to flush insect prey that it captures in flight.
kentucky_warbler	Geothlypis formosa	Kentucky Warbler	mature	A bird of the Southeast, forages on the floor of deciduous woods with damp thickets in bottomlands or near water courses, ravines and swamps in uplands. Nests on or near the ground.
least_flycatcher	Empidonax minimus	Least Flycatcher	mature	Occupies open forests, often nests in clusters of territories, may exclude American redstarts from preferred habitat. 
ovenbird	Seiurus aurocapilla	Ovenbird	mature	A dweller of deciduous, mixed or coniferous forests with sparse woody understory but well-developed herbaceous layer. Nests and forages on the forest floor, males sing from the mid-canopy, but also make elaborate flight displays above the canopy, typically near dusk.
red-breasted_nuthatch	Sitta canadensis	Red-breasted Nuthatch	mature	Occupies coniferous forests, excavates nest cavities in trees with rotted cores. Spreads resin from pines or spruces around nest hole to deter predators.
red-eyed_vireo	Vireo olivaceus	Red-eyed Vireo	mature	A canopy dweller typical of upland or bottomland deciduous forest with well-developed sapling layer. One of the more prolific songsters, one observer counted over 22,000 songs in a single day. Consumes spongy and brown-tailed moths.
rose-breasted_grosbeak	Pheucticus ludovicianus	Rose-breasted Grosbeak	mature	Inhabits mature or second growth woods with a well-developed sapling layer.
scarlet_tanager	Piranga olivacea	Scarlet Tanager	mature	Occurs most frequently in mature deciduous and mixed forest where it nests and forages in the canopy.
veery	Catharus fuscescens	Veery	mature	Nests in moist mixed or deciduous forest with well-developed shrub layer, typically near streams and seeps. Forages and nests on or near the ground.
wood_thrush	Hylocichla mustelina	Wood Thrush	mature	Occupies moist deciduous or mixed forest with well developed midstory. Forages principally on the ground, nests in taller shrubs or saplings.
worm-eating_warbler	Helmitheros vermivorum	Worm-eating Warbler	mature	Uses moist forest, wooded ravines and hillsides often near running water and typically with dense understory tangles.
yellow-bellied_sapsucker	Sphyrapicus varius	Yellow-bellied Sapsucker	mature	Inhabits deciduous or mixed forests, excavates nesting cavities in trees with decayed centers. Drills rows of holes in bark and consumes sap and insects drawn to it.
yellow-rumped_warbler	Setophaga coronata	Yellow-rumped Warbler	mature	A canopy dweller of coniferous or mixed forests. Eastern birds formerly known as "Myrtle warblers" because of their unusual habit of eating wax myrtle (aka "bayberry") fruits, which may enable them to winter further north than most other warbler species.
