id	latin	common	group	info
magnolia_warbler	Setophaga magnolia	Magnolia Warbler	shrubland	
mourning_warbler	Geothlypis philadelphia	Mourning Warbler	shrubland	This northerly distributed species uses open to moderately closed habitats with low, dense shrubby vegetation. Mourning warblers occur in regenerating clearcuts, but also shelterwoods, although at lower densities.
nashville_warbler	Oreothlypis ruficapilla	Nashville Warbler	shrubland	This northerly species is almost never found in unbroken forests, but they may inhabit areas with small or scattered large trees. They breed in moderately open areas with dense shrub cover and a dense herbaceous layer.
northern_bobwhite	Colinus virginianus	Northern Bobwhite	shrubland	
northern_cardinal	Cardinalis cardinalis	Northern Cardinal	shrubland	
northern_mockingbird	Mimus polyglottos	Northern Mockingbird	shrubland	
palm_warbler	Setophaga palmarum	Palm Warbler	shrubland	
prairie_warbler	Setophaga discolor	Prairie Warbler	shrubland	Occurs in openings with little herbaceous groundcover, is highly area-sensitive, and is relatively intolerant of residual trees. One of the highest priority species in Massachusetts.
ruby-throated_hummingbird	Archilochus colubris	Ruby-throated Hummingbird	shrubland	
ruffed_grouse	Bonasa umbellus	Ruffed Grouse	shrubland	
rusty_blackbird	Euphagus carolinus	Rusty Blackbird	shrubland	
song_sparrow	Melospiza melodia	Song Sparrow	shrubland	This widespread species prefers habitats with tall, dense shrub or sapling cover and dense herbaceous vegetation, preferably “mesic” (moister) sites. Song sparrows also occur in wetlands, residential areas and in fallow areas on farms.
swamp_sparrow	Melospiza georgiana	Swamp Sparrow	shrubland	
tennessee_warbler	Oreothlypis peregrina	Tennessee Warbler	shrubland	
white-eyed_vireo	Vireo griseus	White-eyed Vireo	shrubland	Areas with dense, low shrub cover provide ideal habitat for this southerly species. White-eyed vireos are relatively intolerant of residual canopy coverage, are also one of the more area-sensitive species in Massachusetts forest openings.
white-throated_sparrow	Zonotrichia albicollis	White-throated Sparrow	shrubland	This northerly species is typical of coniferous habitats with dense shrub cover and significant herbaceous vegetation, although they will also use deciduous habitats. In addition to silvicultural openings, this species also may occur along the edges of meadows, bogs, and ponds, as well as areas regenerating after fires.
willow_flycatcher	Empidonax traillii	Willow Flycatcher	shrubland	
wilsons_snipe	Gallinago delicata	Wilson's Snipe	shrubland	
wilsons_warbler	Cardellina pusilla	Wilson's Warbler	shrubland	
yellow_warbler	Setophaga petechia	Yellow Warbler	shrubland	
yellow-billed_cuckoo	Coccyzus americanus	Yellow-billed Cuckoo	shrubland	This elusive bird is a voracious predator of caterpillars, cicadas, and other large insects. Yellow-billed cuckoos almost exclusively found in deciduous habitats, often near water. Areas with dense shrubs and saplings are preferred, such as abandoned agricultural land, overgrown orchards, and the edges of streams and marshes.
yellow-breasted_chat	Icteria virens	Yellow-breasted Chat	shrubland	
acadian_flycatcher	Empidonax virescen	Acadian Flycatcher	mature	
american_redstart	Setophaga ruticilla	American Redstart	mature	
blackburnian_warbler	Setophaga fusca	Blackburnian Warbler	mature	
black-throated_blue_warbler	Setophaga caerulescens	Black-throated Blue Warbler	mature	
black-throated-green-warbler	Setophaga virens	Black-throated Green Warbler	mature	
blue-gray-gnatcatcher	Polioptila caerulea	Blue-gray Gnatcatcher	mature	
blue-headed_vireo	Vireo solitarius	Blue-headed Vireo	mature	
brown_creeper	Certhia americana	Brown Creeper	mature	
cerulean_warbler	Setophaga cerulea	Cerulean Warbler	mature	
eastern_wood_pewee	Contopus virens	Eastern Wood Pewee	mature	
great_crested_flycatcher	Myiarchus crinitus	Great Crested Flycatcher	mature	
hermit_thrush	Catharus guttatus	Hermit Thrush	mature	
hooded_warbler	Setophaga citrina	Hooded Warbler	mature	
kentucky_warbler	Geothlypis formosa	Kentucky Warbler	mature	
least_flycatcher	Empidonax minimus	Least Flycatcher	mature	
ovenbird	Seiurus aurocapilla	Ovenbird	mature	
red-breasted_nuthatch	Sitta canadensis	Red-breasted Nuthatch	mature	
red-eyed_vireo	Vireo olivaceus	Red-eyed Vireo	mature	
rose-breasted_grosbeak	Pheucticus ludovicianus	Rose-breasted Grosbeak	mature	
scarlet_tanager	Piranga olivacea	Scarlet Tanager	mature	
veery	Catharus fuscescens	Veery	mature	
wood_thrush	Hylocichla mustelina	Wood Thrush	mature	
worm-eating_warbler	Helmitheros vermivorum	Worm-eating Warbler	mature	
yellow-bellied_sapsucker	Sphyrapicus varius	Yellow-bellied Sapsucker	mature	
yellow-rumped_warbler	Setophaga coronata	Yellow-rumped Warbler	mature	
